run,bn,heuristic,time,,Column Labels,,,,,
67,hepar2,PE,3.90E-05,,,,,,,
68,hepar2,MN,0.002612,,,,,,,
68,hepar2,MW,3.60E-05,,,,,,,
68,hepar2,MF,3.30E-05,,,,,,,
68,hepar2,WMF,2.50E-05,,,,,,,
68,hepar2,PE,3.60E-05,,,,,,,
69,hepar2,MN,0.002514,,,,,,,
69,hepar2,MW,2.30E-05,,,,,,,
69,hepar2,MF,2.60E-05,,,,,,,
69,hepar2,WMF,3.00E-05,,,,,,,
69,hepar2,PE,3.70E-05,,,,,,,
70,hepar2,MN,0.002893,,,,,,,
70,hepar2,MW,3.30E-05,,,,,,,
70,hepar2,MF,2.80E-05,,,,,,,
70,hepar2,WMF,2.20E-05,,,,,,,
70,hepar2,PE,3.60E-05,,,,,,,
71,hepar2,MN,0.002313,,,,,,,
71,hepar2,MW,2.40E-05,,,,,,,
71,hepar2,MF,3.00E-05,,,,,,,
71,hepar2,WMF,2.50E-05,,,,,,,
71,hepar2,PE,3.50E-05,,,,,,,
72,hepar2,MN,0.00238,,,,,,,
72,hepar2,MW,2.10E-05,,,,,,,
72,hepar2,MF,3.30E-05,,,,,,,
72,hepar2,WMF,2.70E-05,,,,,,,
72,hepar2,PE,4.50E-05,,,,,,,
73,hepar2,MN,0.002389,,,,,,,
73,hepar2,MW,2.70E-05,,,,,,,
73,hepar2,MF,2.50E-05,,,,,,,
73,hepar2,WMF,2.30E-05,,,,,,,
73,hepar2,PE,3.90E-05,,,,,,,
74,hepar2,MN,0.002684,,,,,,,
74,hepar2,MW,3.00E-05,,,,,,,
74,hepar2,MF,3.30E-05,,,,,,,
74,hepar2,WMF,2.40E-05,,,,,,,
74,hepar2,PE,4.00E-05,,,,,,,
75,hepar2,MN,0.002228,,,,,,,
75,hepar2,MW,2.20E-05,,,,,,,
75,hepar2,MF,3.00E-05,,,,,,,
75,hepar2,WMF,3.10E-05,,,,,,,
75,hepar2,PE,3.50E-05,,,,,,,
76,hepar2,MN,0.002346,,,,,,,
76,hepar2,MW,2.30E-05,,,,,,,
76,hepar2,MF,2.10E-05,,,,,,,
76,hepar2,WMF,2.70E-05,,,,,,,
76,hepar2,PE,3.80E-05,,,,,,,
77,hepar2,MN,0.002332,,,,,,,
77,hepar2,MW,2.50E-05,,,,,,,
77,hepar2,MF,2.90E-05,,,,,,,
77,hepar2,WMF,2.30E-05,,,,,,,
77,hepar2,PE,3.60E-05,,,,,,,
78,hepar2,MN,0.002354,,,,,,,
78,hepar2,MW,2.20E-05,,,,,,,
78,hepar2,MF,3.80E-05,,,,,,,
78,hepar2,WMF,2.50E-05,,,,,,,
78,hepar2,PE,4.60E-05,,,,,,,
79,hepar2,MN,0.002356,,,,,,,
79,hepar2,MW,3.00E-05,,,,,,,
79,hepar2,MF,1.90E-05,,,,,,,
79,hepar2,WMF,3.30E-05,,,,,,,
79,hepar2,PE,3.80E-05,,,,,,,
80,hepar2,MN,0.002345,,,,,,,
80,hepar2,MW,2.20E-05,,,,,,,
80,hepar2,MF,1.90E-05,,,,,,,
